許可證字號,中文品名,英文品名,形狀,特殊劑型,顏色,特殊氣味,刻痕,外觀尺寸,標註一,標註二,外觀圖檔連結
"內衛成製字第000726號","暮帝納斯腹瀉整腸錠","BOTERASU TABLETS FOR DIARRHEA AND INTESTINAL DISEASES","圓形","","黃","","無","8","T","","https://mcp.fda.gov.tw/insert/shapeImg/8596ebb8-899f-421c-8b68-36843f7b03ca?c=o"
"內衛藥製字第000140號","""強生"" 易克痛膜衣錠","ERGOTON FILM COATED TABLETS ""JOHNSON""","圓形","","黃","","無","8","m","","https://mcp.fda.gov.tw/insert/shapeImg/c41a6341-709e-4dee-9407-c7ea432f8440?c=o"
"內衛藥製字第000141號","恆克利片","HYCHLOZIDE TABLETS","圓形","","白","","直線","7.2","","","https://mcp.fda.gov.tw/insert/shapeImg/78ab68ff-a16e-43e3-8813-ec0d8ed304b5?c=o"
"內衛藥製字第000162號","""強生""蘋果酸氯芬尼拉明錠4毫克","CHLORPHENIRAMINE MALEATE TABLETS 4MG ""JOHNSON""","六邊形","","白","","直線","7.8","","","https://mcp.fda.gov.tw/insert/shapeImg/f2ec8164-0afc-4e46-a759-8f72e5287ecb?c=o"
"內衛藥製字第000164號","異菸生僉醯月井錠","ISONIAZIDE TABLETS","圓形","","白","","無","7.2","","","https://mcp.fda.gov.tw/insert/shapeImg/1405fca6-4d8e-432d-99e0-d3a0b339406d?c=o"
"內衛藥製字第000258號","""強生""倍樂寧膠囊","PELONINE CAPSULES ""JOHNSON""","膠囊;;;膠囊","","藍;;;白;;;藍;;;白","","無;;;無","15;;;15","","","https://mcp.fda.gov.tw/insert/shapeImg/0ebf243e-1fbf-488f-8f62-ce152e36b9d8?c=o;;;https://mcp.fda.gov.tw/insert/shapeImg/e0824299-63c0-4c47-9701-a21d47c6eaf3?c=o"
"內衛藥製字第000261號","""強生""通便樂腸溶錠","JOHNLAX ENTERIC COATED TABLETS ""JOHNSON""","圓形","","黃","","無","7","","","https://mcp.fda.gov.tw/insert/shapeImg/138dfeef-045f-49ab-b557-7fef72451ad9?c=o"
"內衛藥製字第000278號","""強生""克僂強錠","DEXAZONE TABLETS ""JOHNSON""","圓形","","黃","","直線","6","I 15","JCP","https://mcp.fda.gov.tw/insert/shapeImg/2412e72e-954d-4637-a05b-22a864125d49?c=o"
"內衛藥製字第000286號","""強生""筋弛能錠","KINZANONE TABLETS ""JOHNSON""","橢圓形","","綠","","直線","11","","","https://mcp.fda.gov.tw/insert/shapeImg/85794476-d369-46ec-ad6a-03892cb85dbc?c=o"
"內衛藥製字第000394號","""強生""血管淨錠","HEXAZIN TABLETS ""JOHNSON""","圓形","","粉","","直線","9.5","","","https://mcp.fda.gov.tw/insert/shapeImg/51534d1c-298c-49c6-98f4-3fdbaf76d09e?c=o"
"內衛藥製字第000482號","喉克片","HOUK TABLETS","其他","","綠","","無","19","MEYSEE MEYSEE","","https://mcp.fda.gov.tw/insert/shapeImg/c0bbb47d-deed-4023-9db3-6df6df1519d5_img_1?c=o;;;https://mcp.fda.gov.tw/insert/shapeImg/d5706990-b47d-4134-a4a5-b6c5f3d1c3ec?c=o"
"內衛藥製字第000781號","""強生""安樂平錠","HALOPIN TABLETS ""JOHNSON""","圓形","","白","","無","5.5","","","https://mcp.fda.gov.tw/insert/shapeImg/20466421-f6ef-44d5-a843-73e1abe46834?c=o"
"內衛藥製字第000805號","""強生"" 消旋鹽酸甲基麻黃生僉錠","DL-METHYLEPHEDRINE HCL TABLETS ""JOHNSON""","圓形","","白","","直線","6","","","https://mcp.fda.gov.tw/insert/shapeImg/8c47b6c7-54d1-4045-931c-45246d9fa5d2?c=o"
"內衛藥製字第000817號","癲能停膠囊","DILANTIN KAPSEALS","膠囊","","橘;;;白","","無","17","VTRS","VLE 100","https://mcp.fda.gov.tw/insert/shapeImg/0a4e4fa2-1c74-49aa-a7d1-9e3da00b1b22?c=o"
"內衛藥製字第000849號","""強生""順通錠","SOLLON TABLETS ""JOHNSON""","圓形","","白","","無","6","","","https://mcp.fda.gov.tw/insert/shapeImg/5064c6a2-8c8a-461d-8f2d-0b549fd61f4f?c=o"
"內衛藥製字第000884號","普力寧片","POLENIN TABLETS","圓形","","粉","","直線","10","ST","","https://mcp.fda.gov.tw/insert/shapeImg/c4de8029-7af1-40df-9825-dd6bbe91f172?c=o"
"內衛藥製字第001451號","''大豐''鹽酸消旋甲基麻黃鹼錠 25 毫克","DL-METHYLEPHEDRINE HCL TABLETS 25mg ''T.F.''","圓形","","白","","直線","7","","","https://mcp.fda.gov.tw/insert/shapeImg/1ab94d6a-4e83-4a95-81c9-8363d5041848?c=o"
"內衛藥製字第001503號","大益糖衣錠5毫克","TAEE S.C. TABLETS 5MG","圓形","","藍綠","","無","7","","","https://mcp.fda.gov.tw/insert/shapeImg/a9ac3368-3d0e-4a8b-9815-324161bf642d?c=o"
"內衛藥製字第001706號","""強生""氫氧化鋁膠錠３２４毫克","ALUMINUM HYDROXIDE TABLETS 324MG ""JOHNSON""","圓形","","白","","直線","11","JCP K3","","https://mcp.fda.gov.tw/insert/shapeImg/face39ab-f2c8-4c61-8366-8abd8be3aa9e?c=o"
"內衛藥製字第001727號","""強生""碳酸氫鈉錠","SODIUM BICARBONATE COMPOUND TABLETS ""JOHNSON""","圓形;;;圓形","","白;;;白","","直線;;;直線","10;;;10","JCP K2","","https://mcp.fda.gov.tw/insert/shapeImg/2b342395-5487-43a0-94a5-1adde1a332e4?c=o;;;https://mcp.fda.gov.tw/insert/shapeImg/cc51a8db-f99e-45ce-a6ac-18d2c7ea95ef?c=o"
"內衛藥製字第001728號","〝強生〞達姆明錠５０毫克","DIMENHYDRINATE TABLETS 50MG ""JOHNSON""","圓形","","白","","直線","8","","","https://mcp.fda.gov.tw/insert/shapeImg/9aac019d-5a7f-4bbd-8eca-adf383c0f476?c=o"
"內衛藥製字第001736號","""強生"" 苯巴比特魯錠３０毫克","PHENOBARBITAL TABLETS 30MG ""JOHNSON""","圓形","","白","","十字","7.2","","","https://mcp.fda.gov.tw/insert/shapeImg/5ef33c3f-eff4-4282-be6b-1fbdcb29f139?c=o"
"內衛藥製字第001752號","""強生""福樂你糖衣錠","FRONIL S.C. TABLETS ""JOHNSON""","圓形","","粉","","無","5.5","","","https://mcp.fda.gov.tw/insert/shapeImg/cec716d0-300e-40d4-94df-3f79c4944037?c=o"
"內衛藥製字第001774號","""強生"" 縮水蘋果酸氯芬尼拉明錠８毫克","CHLORPHENIRAMINE MALEATE TABLETS 8MG ""JOHNSON","六邊形","","藍","","直線","8","","","https://mcp.fda.gov.tw/insert/shapeImg/35f67543-025d-4dc6-a513-e7784e50064d?c=o"
"內衛藥製字第001780號","""強生""妙治胃益錠","BENTYLINE-S TABLETS ""JOHNSON""","圓形","","白","","無","12.8","","","https://mcp.fda.gov.tw/insert/shapeImg/7c6e1bb4-2bfa-4247-b0b1-a838388c725e?c=o"
"內衛藥製字第001783號","""強生""抑炎源膜衣錠","UROGEN F.C. TABLETS ""JOHNSON""","圓形","","棕","","無","7.5","","","https://mcp.fda.gov.tw/insert/shapeImg/af0d5a62-516c-46a1-afd0-ba385dc0bd50?c=o"
